1	25
2	50
3	223
4	100
5	138
6	191
7	112
8	200
9	120
10	21
11	245
12	127
13	99
14	224
15	33
16	145
17	68
18	240
19	92
20	42
21	10
22	235
23	196
24	254
25	1
26	198
27	104
28	193
29	181
30	66
31	45
32	35
33	15
34	136
35	32
36	225
37	179
38	184
39	106
40	84
41	157
42	20
43	121
44	215
45	31
46	137
47	101
48	253
49	197
50	2
51	238
52	141
53	147
54	208
55	63
56	131
57	83
58	107
59	82
60	132
61	186
62	90
63	55
64	70
65	162
66	30
67	216
68	17
69	130
70	64
71	109
72	195
73	236
74	103
75	199
76	113
77	228
78	212
79	174
80	168
81	160
82	59
83	57
84	40
85	170
86	242
87	167
88	175
89	203
90	62
91	209
92	19
93	158
94	202
95	176
96	251
97	190
98	139
99	13
100	4
101	47
102	221
103	74
104	27
105	248
106	39
107	58
108	161
109	71
110	126
111	246
112	7
113	76
114	166
115	243
116	214
117	122
118	164
119	153
120	9
121	43
122	117
123	183
124	180
125	194
126	110
127	12
128	140
129	239
130	69
131	56
132	60
133	250
134	177
135	144
136	34
137	46
138	5
139	98
140	128
141	52
142	218
143	150
144	135
145	16
146	217
147	53
148	206
149	188
150	143
151	178
152	226
153	119
154	201
155	159
156	169
157	41
158	93
159	155
160	81
161	108
162	65
163	182
164	118
165	227
166	114
167	87
168	80
169	156
170	85
171	211
172	229
173	232
174	79
175	88
176	95
177	134
178	151
179	37
180	124
181	29
182	163
183	123
184	38
185	249
186	61
187	204
188	149
189	219
190	97
191	6
192	247
193	28
194	125
195	72
196	23
197	49
198	26
199	75
200	8
201	154
202	94
203	89
204	187
205	207
206	148
207	205
208	54
209	91
210	241
211	171
212	78
213	233
214	116
215	44
216	67
217	146
218	142
219	189
220	252
221	102
222	237
223	3
224	14
225	36
226	152
227	165
228	77
229	172
230	231
231	230
232	173
233	213
234	244
235	22
236	73
237	222
238	51
239	129
240	18
241	210
242	86
243	115
244	234
245	11
246	111
247	192
248	105
249	185
250	133
251	96
252	220
253	48
254	24
